MetaTest/shelf-place-v2/Iteration,MetaTest/shelf-place-v2/AverageDiscountedReturn,MetaTest/drawer-open-v2/AverageDiscountedReturn,Average/Iteration,MetaTest/lever-pull-v2/StdReturn,peg-insert-side-v2/TerminationRate,peg-insert-side-v2/SuccessRate,MetaTest/Average/SuccessRate,door-open-v2/NumEpisodes,door-open-v2/AverageReturn,MetaTest/drawer-open-v2/MinReturn,reach-v2/Iteration,reach-v2/MinReturn,reach-v2/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/sweep-into-v2/AverageDiscountedReturn,sweep-v2/AverageDiscountedReturn,push-v2/MaxReturn,pick-place-v2/TerminationRate,window-open-v2/SuccessRate,push-v2/Iteration,pick-place-v2/AverageDiscountedReturn,MetaTest/lever-pull-v2/MaxReturn,MetaTest/Average/TerminationRate,pick-place-v2/SuccessRate,MetaTest/drawer-open-v2/MaxReturn,MetaTest/sweep-into-v2/StdReturn,reach-v2/MaxReturn,basketball-v2/TerminationRate,door-open-v2/AverageDiscountedReturn,Average/NumEpisodes,peg-insert-side-v2/AverageDiscountedReturn,MetaTest/shelf-place-v2/SuccessRate,MetaTest/sweep-into-v2/TerminationRate,GaussianMLPPolicy/LossAfter,basketball-v2/Iteration,MetaTest/sweep-into-v2/MinReturn,peg-insert-side-v2/MaxReturn,basketball-v2/StdReturn,MetaTest/sweep-into-v2/NumEpisodes,Average/TerminationRate,pick-place-v2/MaxReturn,MetaTest/shelf-place-v2/NumEpisodes,window-open-v2/AverageDiscountedReturn,MetaTest/door-close-v2/StdReturn,drawer-close-v2/TerminationRate,peg-insert-side-v2/StdReturn,MetaTest/door-close-v2/MaxReturn,MetaTest/lever-pull-v2/TerminationRate,MetaTest/door-close-v2/SuccessRate,button-press-topdown-v2/StdReturn,Average/MaxReturn,sweep-v2/MinReturn,button-press-topdown-v2/SuccessRate,sweep-v2/TerminationRate,drawer-close-v2/NumEpisodes,MetaTest/sweep-into-v2/MaxReturn,pick-place-v2/AverageReturn,reach-v2/NumEpisodes,Average/AverageReturn,MetaTest/sweep-into-v2/SuccessRate,Average/SuccessRate,pick-place-v2/StdReturn,drawer-close-v2/Iteration,MetaTest/lever-pull-v2/AverageDiscountedReturn,door-open-v2/Iteration,door-open-v2/TerminationRate,window-open-v2/StdReturn,door-open-v2/StdReturn,sweep-v2/Iteration,sweep-v2/NumEpisodes,GaussianMLPPolicy/KLBefore,MetaTest/drawer-open-v2/Iteration,MetaTest/door-close-v2/AverageDiscountedReturn,GaussianMLPPolicy/KLAfter,Average/AverageDiscountedReturn,pick-place-v2/NumEpisodes,basketball-v2/AverageReturn,sweep-v2/MaxReturn,drawer-close-v2/SuccessRate,drawer-close-v2/MaxReturn,reach-v2/AverageDiscountedReturn,MetaTest/shelf-place-v2/StdReturn,button-press-topdown-v2/MinReturn,sweep-v2/AverageReturn,MetaTest/drawer-open-v2/StdReturn,Average/StdReturn,MetaTest/drawer-open-v2/NumEpisodes,window-open-v2/Iteration,MetaTest/shelf-place-v2/TerminationRate,peg-insert-side-v2/AverageReturn,pick-place-v2/Iteration,GaussianMLPPolicy/LossBefore,MetaTest/lever-pull-v2/NumEpisodes,basketball-v2/SuccessRate,MetaTest/shelf-place-v2/AverageReturn,drawer-close-v2/AverageReturn,button-press-topdown-v2/AverageDiscountedReturn,push-v2/SuccessRate,basketball-v2/NumEpisodes,MetaTest/door-close-v2/NumEpisodes,MetaTest/lever-pull-v2/Iteration,reach-v2/AverageReturn,push-v2/AverageReturn,drawer-close-v2/StdReturn,MetaTest/door-close-v2/Iteration,push-v2/AverageDiscountedReturn,Average/MinReturn,push-v2/MinReturn,window-open-v2/MaxReturn,MetaTest/lever-pull-v2/SuccessRate,window-open-v2/AverageReturn,MetaTest/Average/StdReturn,MetaTest/door-close-v2/MinReturn,MetaTest/Average/Iteration,MetaTest/lever-pull-v2/AverageReturn,push-v2/TerminationRate,MetaTest/sweep-into-v2/Iteration,MetaTest/shelf-place-v2/MinReturn,Iteration,MetaTest/Average/AverageDiscountedReturn,sweep-v2/SuccessRate,window-open-v2/NumEpisodes,MetaTest/drawer-open-v2/SuccessRate,basketball-v2/MinReturn,MetaTest/Average/AverageReturn,MetaTest/drawer-open-v2/TerminationRate,basketball-v2/MaxReturn,drawer-close-v2/MinReturn,peg-insert-side-v2/NumEpisodes,peg-insert-side-v2/MinReturn,MetaTest/drawer-open-v2/AverageReturn,peg-insert-side-v2/Iteration,reach-v2/StdReturn,MetaTest/shelf-place-v2/MaxReturn,MetaTest/lever-pull-v2/MinReturn,GaussianMLPPolicy/Entropy,reach-v2/SuccessRate,push-v2/StdReturn,button-press-topdown-v2/AverageReturn,basketball-v2/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,MetaTest/door-close-v2/TerminationRate,TotalEnvSteps,drawer-close-v2/AverageDiscountedReturn,door-open-v2/MinReturn,door-open-v2/SuccessRate,MetaTest/door-close-v2/AverageReturn,window-open-v2/MinReturn,window-open-v2/TerminationRate,pick-place-v2/MinReturn,button-press-topdown-v2/NumEpisodes,MetaTest/Average/MinReturn,push-v2/NumEpisodes,button-press-topdown-v2/Iteration,MetaTest/sweep-into-v2/AverageReturn,door-open-v2/MaxReturn,button-press-topdown-v2/TerminationRate,sweep-v2/StdReturn,button-press-topdown-v2/MaxReturn,MetaTest/Average/MaxReturn
0,0.0,1011.6320977959499,0,45.848358384008975,0.0,0.0,0.06,20,330.98369536175767,399.8437523943596,0,124.40533892631133,0.0,250,22.74839565792224,15.113434787873132,71.80727598385532,0.0,0.0,0,2.194238818487126,231.68944692152678,0.0,0.0,2268.0587067532233,25.080172932935426,526.0212698386935,0.0,55.494755989253825,200,1.0658999324109264,0.0,0.0,-0.0023473347537219524,0,3.611172083711979,4.717050116776902,2.2244020828171913,50,0.0,45.82254150001136,50,40.491518607307924,710.9093577154232,0.0,0.595124693395996,2869.727855651392,0.0,0.3,126.60778901190305,4715.402646599942,38.992894583875746,0.2,0.0,20,144.25119447555596,6.8109595815920185,20,284.50423150668416,0.0,0.08,9.757243083167344,0,142.34087270215903,0,0.0,16.940493669894803,156.67589773502675,0,20,0.0,0,555.4213924326128,0.009851810522377491,45.88993854884441,20,4.970899582705346,102.40797086925207,0.6,4715.402646599942,76.25939593863464,0.0,127.89665275899138,57.48266593561719,561.1441548688313,773.012882285189,50,0,0.0,3.920104074150663,0,0.0038978613447397947,50,0.0,0.0,1696.8747673735693,54.03357151085679,0.0,20,50,0,239.2137671182591,22.12819965727565,1887.148205083583,0,9.314665990680972,1.108314130627538,5.699525354979192,230.94960876650268,0.0,187.7273550380342,561.3578351203246,31.93086688212083,0,142.34087270215903,0.0,0,0.0,0,346.4285517177288,0.0,20,0.0,1.2976410875231017,346.4285517177288,0.0,8.398833319912917,3.698760487648111,20,2.831631444100974,1011.6320977959501,0,98.49235928834298,0.0,47.83292293732986,5.712768077850342,0.0,22.483077333542308,294.9299013438807,1.5324691688055627,0.006245196098461747,0.0,200000,203.3994347441333,175.9807381859121,0.0,555.4213924326127,163.28616801638287,0.0,1.108314130627538,20,0.0,20,0,22.74839565792224,607.0800435334382,0.0,12.401865510281292,526.0818323892023,2869.727855651392
1,0.029196313262561807,898.6244459227121,1,66.80182739997812,0.0,0.0,0.052,20,245.2648975073501,448.8270171392426,1,148.78314966373821,0.0,250,34.41830654057966,15.089037040455054,24.882213772760622,0.0,0.0,1,1.1910173308028686,320.41993179032306,0.0,0.0,2423.411149704253,51.60872672499782,882.8644146156174,0.0,44.50712593600586,200,1.7365656722221612,0.0,0.0,0.006133930291980505,1,6.488596194179081,9.960668073164063,4.100058178808016,50,0.0,6.099591282700503,50,41.358922723490174,945.1188824224957,0.0,1.8257507461584044,3381.155499476669,0.0,0.26,118.46149153343659,4780.924619192419,28.087996312189404,0.1,0.0,20,250.83645674630023,2.6652740675448574,20,160.12428926175107,0.0,0.025,1.0801727158204304,1,172.25099656310448,1,0.0,34.1199194118921,121.67772864601864,1,20,0.0,1,661.5459634520115,0.009266353212296963,32.18185865840364,20,6.5962989206968405,115.48466486485646,0.15,4780.924619192419,91.34597866041514,0.17901439581831582,85.34706559359986,46.78082851458292,455.67042396542354,496.7947289967505,50,1,0.0,5.5902787064028505,1,0.009173756465315819,50,0.0,0.02919631326256181,592.8042816941709,45.482422883022295,0.0,20,50,1,287.0266182384789,11.608938997753787,1446.7899932922699,1,4.549332855087481,0.6927570627223005,5.195515150217996,254.6581506037206,0.0,198.04950564024296,593.2402631220893,43.61953110424891,1,172.25099656310445,0.0,1,0.0,1,353.3737817583341,0.0,20,0.0,1.9894728161892914,353.3737817583341,0.0,20.131565283452275,0.6927570627223005,20,3.1422737742396416,898.6244459227123,1,152.50900083188534,1.2681447894919924,50.184322135397245,5.783484935760498,0.0,5.060022554967664,204.85597033028654,2.2647461464358516,0.003039826173335314,0.0,400000,74.29343733609947,176.12179330660564,0.0,661.5459634520115,141.42943104295895,0.0,1.430468517569117,20,0.0,20,1,34.418306540579664,579.499476784918,0.0,19.678137154274065,443.9772015693513,3381.155499476669
2,0.9551713934066197,1065.382889789346,2,76.61717340578565,0.0,0.0,0.088,20,296.3809582145821,447.11616447410216,2,133.6487284313832,0.0,250,25.539614467726107,21.81643142264271,74.04942717452144,0.0,0.0,2,1.5297801115317102,349.7584393782898,0.0,0.0,2381.7545166092273,45.293612481925194,274.0616231271011,0.0,47.70193044938937,200,1.4887100658233234,0.0,0.0,-0.005656321533024311,2,6.111667342761437,7.650333516792069,3.435342238221057,50,0.0,5.776475543957747,50,41.590929609576634,1301.9661817231292,0.0,1.9577070435146233,3596.8310218553206,0.0,0.44,112.01107978695796,3816.118651111975,33.41641731683817,0.05,0.0,20,325.45811879497853,3.4255163363731036,20,203.88313330216732,0.0,0.045,0.9522010442513464,2,201.32137647027642,2,0.0,28.983137439987022,153.01519641850632,2,20,0.0,2,1319.5964429846538,0.006515546701848507,30.670215275106326,20,5.78703879579701,166.7948198173897,0.4,3816.118651111975,66.57670699610637,5.986270550987929,113.97944705729884,66.8843891521095,589.820859424273,524.3366505514598,50,2,0.0,4.773166168771441,2,-0.0012245954712852836,50,0.0,0.9551713934066198,1007.2215744519419,47.84254526234471,0.0,20,50,2,179.28656415009027,12.58027427643831,1370.3581597657787,2,5.7487452837832596,1.0830808133374725,6.180198526624298,305.4901685604827,0.0,208.78876546344205,848.9029411915851,120.42098532012176,2,201.32137647027636,0.0,2,0.0,2,522.5590990210817,0.0,20,0.0,1.0830808133374725,522.5590990210818,0.0,14.771680387361124,2.7464214618097604,20,2.2241543933984302,1065.382889789346,2,40.35884074611818,42.70937486995687,54.3761202594065,5.7695207595825195,0.0,14.36159279121312,253.70308601212764,2.3619515728209795,0.0044317260617390275,0.0,600000,70.04442197704418,175.7096696502336,0.0,1319.5964429846538,170.4328297444153,0.0,1.4340701624919414,20,0.0,20,2,25.539614467726093,624.2631959926911,0.0,36.067129454865295,464.0928633889657,3596.8310218553206
3,0.34283118602979346,920.3754411158985,3,80.90799674207969,0.0,0.0,0.152,20,290.55861790159815,417.01461900051015,3,154.6380175936655,0.0,250,39.1332528781567,20.471860144050442,37.90980389804281,0.0,0.0,3,0.9074480841425341,370.87454763867714,0.0,0.0,2236.7724719446524,67.12445739945387,403.6917109200652,0.0,44.77771854519196,200,1.2403697110279,0.0,0.0,-0.0052478983998298645,3,4.276632696235342,6.076690491064101,3.9152735887854844,50,0.0,13.765996197673925,50,39.921451436787734,1090.756633863896,0.0,0.9399554536695338,3469.297955891312,0.0,0.76,87.51172507578015,4703.631178319287,22.260421460140282,0.15,0.0,20,441.7095657100556,3.49102834172214,20,197.79778283909513,0.0,0.035,2.4346712175056897,3,196.26766999975425,3,0.0,17.613917428895217,132.87302726309383,3,20,0.0,3,1756.0686253665367,0.0063995616510510445,36.91255849108508,20,6.536002034883791,250.68035821346217,0.2,4703.631178319287,80.39629288901872,2.064652424741697,171.0374039557573,64.95644426225485,530.6133800925728,625.2467761308658,50,3,0.0,4.7766385267021425,3,-0.0018704276299104095,50,0.0,0.3428311860297935,895.9097224509147,48.08350566112783,0.0,20,50,3,238.70374328905095,11.643625846432915,1791.0586083809312,3,5.236928359022694,1.8936353444224157,6.416810328579888,209.1719220700993,0.0,181.60092221467175,866.8459574155536,83.59092771800381,3,196.2676699997542,0.0,3,0.0,3,582.4375641092752,0.0,20,0.0,2.0597844588999332,582.4375641092753,0.0,17.5241227962792,1.945214583677079,20,2.970209534698301,920.3754411158985,3,71.7945704699367,14.574928849926794,46.500270684352635,5.763980388641357,0.0,7.2170107175045395,279.80108352271947,3.0280561396399044,0.003377470769919455,0.0,800000,125.06195394084105,176.49582742747833,0.0,1756.068625366537,137.44729127991877,0.0,1.8936353444224157,20,0.0,20,3,39.133252878156725,628.4288361895672,0.0,45.53378106914935,441.9180892033519,3469.297955891312
4,1.0596369671091808,895.7663780909792,4,103.53958674409903,0.0,0.0,0.164,20,450.57629726289395,396.3086353189868,4,196.94544906481977,0.0,250,42.656262004010685,27.08176465065493,51.3788814284528,0.0,0.0,4,1.3428009521984996,384.1008512400229,0.0,0.0,2533.6065586885843,62.31267648905963,608.7231559071554,0.0,71.06848325891458,200,1.557689186092175,0.0,0.0,-0.008512033149600029,4,4.526697253820787,10.668355846768186,4.684539155754976,50,0.0,4.790811024651875,50,43.14167845364451,1212.0229658440549,0.0,2.5306025186580516,4113.906081811454,0.0,0.82,114.7576638128861,4930.632583773095,45.52113271618716,0.15,0.0,20,299.036214657047,3.058640401244313,20,257.93499491492895,0.0,0.045,0.5893381205257158,4,216.86021075291893,4,0.0,23.109498248535296,152.81543120131082,4,20,0.0,4,2669.4814991804956,0.008998277597129345,47.228301634731444,20,8.018265181357467,402.9442726389103,0.3,4930.632583773095,104.52459421686999,7.417458769764265,99.39099884892227,86.88410949709878,575.938780979747,709.7745081583722,50,4,0.0,4.969246528314453,4,-0.0028827334754168987,50,0.0,1.0596369671091805,1224.1939347479572,46.417035808733495,0.0,20,50,4,328.6059881975179,14.229661989799945,1930.2002868963837,4,6.64753159735734,1.254890898376842,6.763229465917256,291.9918364556531,0.0,225.32689101545498,1171.7811704201781,170.34293407058564,4,216.860210752919,0.0,4,0.0,4,765.1647973991027,0.0,20,0.0,1.254890898376842,765.1647973991027,0.0,19.69403267129218,2.689391541599322,20,2.362095461059447,895.7663780909792,4,108.5350120983276,52.98184835545902,40.913738731003036,5.756950855255127,0.0,11.674908147462236,233.48691432765054,3.117164262795609,0.00562929967418313,0.0,1000000,167.3842739600533,177.30981667152534,0.0,2669.4814991804956,182.19466875080673,0.0,2.3831115050436384,20,0.0,20,4,42.656262004010685,675.20953439472,0.0,75.09669065141549,474.86873546582825,4113.906081811454
5,0.008744009997541536,854.4444178601717,5,97.84704017210771,0.0,0.0,0.144,20,450.4302919197106,415.38863235989845,5,207.0813618906849,0.0,250,170.66967072023817,12.714935981888905,16.395460158118755,0.0,0.0,5,1.7539282301033723,360.3442463164386,0.0,0.0,2282.3737725263786,373.4307339388863,539.8551306051435,0.0,72.20258490398308,200,1.1748403841697417,0.0,0.0,0.0009131135302595794,5,15.49355384527551,6.437446414262632,5.834707555071012,50,0.0,17.805811243985588,50,40.262865022874635,1359.163096882922,0.0,1.147386541005754,3702.324679033123,0.0,0.7,90.34003104940399,4674.409439903174,30.774459895727155,0.05,0.0,20,2438.6288823020122,5.487252686932772,20,180.7880826397265,0.02,0.02,3.754329016664981,5,193.5323118716384,5,0.0,20.96622516389995,162.33960596626304,5,20,0.0,5,2208.424017511604,0.006502558942884207,32.79327443597738,20,9.29180580067624,72.90615736713508,0.15,4674.409439903174,92.78405309204436,0.04745654280361171,140.57421692358562,49.3262123864114,542.8240853708683,447.95920001701205,50,5,0.0,4.0495892410446235,5,0.0023967756424099207,50,0.0,0.008744009997541536,495.3237964728525,46.284554563587974,0.0,20,50,5,352.4788201435299,10.991534769855683,1273.8116322115332,5,4.988954617157529,2.121520999450204,7.326335990996899,209.78490401127658,0.0,185.3974920654347,1059.7950132290757,106.82780372468135,5,193.53231187163846,0.0,5,0.0,5,685.4158323947298,0.0,20,0.0,4.072881586769769,685.4158323947298,0.0,23.61546852185901,2.121520999450204,20,2.7436329526499508,854.4444178601717,5,78.72901750821863,0.320720080870204,29.975245770874743,5.776400566101074,0.0,2.6591046736453148,245.10403091081656,3.1816182848060737,0.0014836621121503413,0.0,1200000,52.58440927915817,177.33402486081562,0.0,2208.424017511604,139.32185355020022,0.0,2.5124407864450857,20,0.0,20,5,170.6696707202381,652.7488171454631,0.0,10.122506364570604,487.0687160534882,3702.324679033123
6,0.01801710023156566,1070.0552205548538,6,104.90397348000083,0.0,0.0,0.176,20,455.89237720576546,463.13100930024257,6,219.17708918399094,0.0,250,291.54335338811524,17.238172478429703,183.12309626216592,0.0,0.0,6,1.980735330105474,356.734584687295,0.0,0.0,2296.0186703992676,723.434661876107,784.541781097544,0.0,73.1270686983265,200,2.3172941571246506,0.0,0.0,-0.004216712899506092,6,13.481182271122922,34.72567007204433,5.4448353299292265,50,0.0,16.953946906287797,50,41.807019324856036,1011.6978197685505,0.0,7.148682130262737,3294.559218605369,0.0,0.8,105.4670088200147,4714.806974091191,26.07735534788818,0.1,0.0,20,3876.9349906985735,7.405227833066698,20,273.8344348144158,0.08,0.05,3.076948036668881,6,202.26589701925977,6,0.0,17.46023455566263,139.95161216473775,6,20,0.0,6,1906.0121492252083,0.0066272490657866,43.65646535110785,20,9.412399564562357,73.59083081549409,0.4,4714.806974091191,105.1219018698411,0.12611970162095962,98.8939229321788,56.29433431317373,573.479084585944,684.7539157591825,50,6,0.0,8.17333008333114,6,-0.0027367365546524525,50,0.0,0.01801710023156566,1310.0286445601837,41.89799851176744,0.0,20,50,6,438.3321308698417,39.273549447955084,1783.1529389026616,6,16.859293979522825,1.8100252959947927,8.82019982980408,233.24063987006502,0.0,198.99098507607275,936.2210271218541,110.64275386802976,6,202.26589701925977,0.0,6,0.0,6,693.9789274575338,0.0,20,0.0,2.249412497853413,693.9789274575336,0.0,24.174142733201858,1.8100252959947927,20,3.3333364917869828,1070.0552205548531,6,139.940864279516,0.9008550115782831,38.08637014876559,5.743309497833252,0.0,39.46903914951725,214.54136919020533,3.509923670844361,0.0014799763448536396,0.0,1400000,132.70524549026035,176.94032197977955,0.0,1906.012149225208,165.29224677855217,0.0,3.4943092966790847,20,0.0,20,6,291.5433533881152,655.229235431152,0.0,12.517117297295206,443.08275661294033,3876.9349906985735
7,0.007019154737469676,1111.0195345059856,7,101.33091708997831,0.0,0.0,0.124,20,353.03922000688465,470.1340736165982,7,300.96511884269904,0.0,250,165.6563847325264,18.951973910903785,136.94082438431786,0.0,0.05,7,2.93552664315976,374.5282397820213,0.0,0.0,2259.2367261997606,265.43782039321945,859.5425990442243,0.0,57.51480853726233,200,6.274952741900868,0.0,0.0,-0.0013851894764229655,7,16.68732662612081,90.28910135624189,55.68303366818713,50,0.0,21.79698060345889,50,43.473281407766464,1484.3096153834451,0.0,31.447964388529464,3838.8681008429135,0.0,0.56,42.29045750757106,4832.651069090917,26.58529249325106,0.0,0.0,20,1016.3759806046032,8.220670234249274,20,415.89973513136016,0.06,0.08,4.635144182866645,7,196.37678963351667,7,0.0,46.47279833457895,156.51435488223797,7,20,0.0,7,1796.939010768558,0.00961796473711729,63.84746877989239,20,28.207613297928265,106.88736156430062,0.75,4832.651069090917,115.25697791745054,0.04913408316228774,60.18879889745691,60.22254736412202,555.9146479688847,995.0770888969244,50,7,0.0,22.556379350812826,7,0.0014372721780091524,50,0.0,0.007019154737469676,2745.242246106152,35.9920895129539,0.0,20,50,7,505.5209841968335,41.37123228466952,1889.573430510583,7,16.384741505756132,3.375663729953983,9.204352264555384,385.880985035482,0.0,238.6642114413823,998.3709800774,119.79969513739988,7,196.37678963351667,0.0,7,0.0,7,653.9997477590649,0.0,20,0.0,3.899207526391686,653.9997477590649,0.0,256.87252696129667,4.036726027252799,20,3.5939791125229745,1111.0195345059858,7,151.0407926471515,0.3509577368734838,31.76130530804982,5.76298189163208,0.0,28.937462288417876,155.95224703056743,5.72558757889873,0.002822461654432118,0.0,1600000,335.96474804287146,176.8751448797415,0.0,1796.9390107685583,172.82323305775344,0.0,3.375663729953983,20,0.0,20,7,165.65638473252636,613.2177982466175,0.0,16.74345882045327,253.65533979625425,3838.8681008429135
8,0.01835298677685943,1096.3746512593984,8,103.6995982798386,0.0,0.0,0.152,20,467.1996163288504,466.6498010534764,8,214.54215829059768,0.0,250,289.9654163860068,22.989826536023873,996.3549315664038,0.0,0.0,8,2.4358496762197936,378.1117153785285,0.0,0.0,2324.7803084525913,787.883673150043,707.7974874939957,0.0,75.03907161154459,200,2.0423334005005023,0.0,0.0,-0.004614509176462889,8,21.474488056187152,27.7676888658378,34.898247205714,50,0.0,22.42360469136854,50,41.960783803063556,1444.5926658311878,0.0,4.999157259115466,4074.7254577978206,0.0,0.68,103.38090369526311,4102.918757932485,34.092742856923145,0.05,0.0,20,4213.54627431076,7.175657626277345,20,304.4894137499169,0.08,0.085,3.976754944074412,8,213.78608862319416,8,0.0,19.493091792959625,130.13367050595272,8,20,0.0,8,2238.872232372383,0.006628506816923618,45.7528190432,20,16.907233052069536,329.31121761466875,0.75,4102.918757932485,102.20246162263197,0.12847090743801598,190.94360274944023,75.46915934092094,538.9641698026018,604.8601742607627,50,8,0.0,8.292639320575868,8,-0.0016120495274662971,50,0.0,0.01835298677685943,1429.8803747830875,58.99730791783744,0.05,20,50,8,403.703630212215,85.3035668849166,1374.7854034354002,8,29.525385856503192,1.9116430140283618,16.09130815911002,255.48412375754384,0.0,208.7132783263026,1131.866195903651,139.81865407580918,8,213.78608862319416,0.0,8,0.0,8,767.8033483255518,0.0,20,0.0,1.9116430140283618,767.8033483255517,0.0,166.75996363020755,3.4276346417344445,20,5.002839519992309,1096.374651259398,8,134.51737303175634,0.9176493388429715,37.80060832112724,5.750866889953613,0.0,210.3415715112864,342.24898162395306,4.378751650560258,0.0030024596489965916,0.0,1800000,117.95641835711483,179.05007439205158,0.0,2238.872232372383,185.42026819262935,0.0,3.9861701972048547,20,0.0,20,8,289.9654163860069,653.9852845120461,0.0,64.6365182060472,527.2140558037294,4213.54627431076
9,0.01407171473624688,1169.6993527121201,9,84.5326037608701,0.0,0.0,0.092,20,413.78106735175027,464.4782680293402,9,361.08891931435215,0.0,250,224.48576482361474,19.73655035568961,64.14781946601676,0.0,0.0,9,3.960478991698815,362.82598999525055,0.0,0.0,2065.564665676776,568.0398636788303,3322.1206001532346,0.0,62.873320404514836,200,1.814085405234008,0.0,0.0,-0.00544221606105566,9,20.032323081567334,13.081030825687257,3.840319404876806,50,0.0,54.80553059310194,50,44.08957286821639,1219.5199178173818,0.0,2.9500953135942503,3280.0246640928626,0.0,0.4,85.07071616938386,4628.966724820314,37.68125698668532,0.0,0.0,20,3944.6277351998497,9.679255894706312,20,372.55080782052835,0.06,0.07,10.583705187167405,9,203.660238296243,9,0.0,13.171507193560366,169.30102471164787,9,20,0.0,9,1101.8954360768546,0.006453158799558878,53.567418795732884,20,8.30673839291001,142.7310286079942,0.7,4628.966724820314,223.54877649762608,0.09850200315372816,82.39411661490001,62.36959399598527,479.17846171660574,765.5747967205663,50,9,0.0,7.552479201538463,9,-0.0021054823882877827,50,0.0,0.01407171473624688,1515.9621700424045,43.47331855030436,0.0,20,50,9,1214.8949805574007,20.037149605755687,1505.2830839239564,9,9.115825080474657,2.9857244744566107,11.700883750777402,249.26472604041018,0.0,225.052595628617,807.8566828560098,96.10819721106425,9,203.66023829624305,0.0,9,0.0,9,539.9509727247139,0.0,20,0.0,2.9857244744566107,539.9509727247139,0.0,18.878499607903784,6.0406804899907875,20,3.903690837256798,1169.69935271212,9,940.387056686817,0.703585736812344,44.70688632437647,5.735493183135986,0.0,11.873779965731213,247.87204753421557,2.5253939741131077,0.0033367336727678776,0.0,2000000,124.53686582945701,176.57057139188072,0.0,1101.895436076855,195.1741665508228,0.0,3.377076210254633,20,0.0,20,9,224.48576482361474,638.4307651859718,0.0,22.53133579095343,433.6814904387519,3944.6277351998497
