MetaTest/Average/SuccessRate,MetaTest/Average/NumEpisodes,TotalEnvSteps,MetaTest/basketball-v2/StdReturn,MetaTest/basketball-v2/TerminationRate,MetaTest/Average/MinReturn,MetaTest/basketball-v2/Iteration,MetaTest/basketball-v2/SuccessRate,MetaTest/basketball-v2/MinReturn,MetaTest/Average/StdReturn,MetaTest/basketball-v2/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/basketball-v2/AverageDiscountedReturn,MetaTest/basketball-v2/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/basketball-v2/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageReturn
0.0,50,230000,5.935453723497802,0.0,2.6533018094938483,0,0.0,2.6533018094938483,5.935453723497802,10.036436088150069,10.03643608815007,10.03643608815007,50,27.998058119311448,0.0,27.998058119311448,0,10.036436088150069
0.0,50,260000,6.17988908712594,0.0,2.5534478783606107,1,0.0,2.5534478783606107,6.17988908712594,10.678856189131274,10.678856189131274,10.678856189131274,50,35.597852431485954,0.0,35.597852431485954,1,10.678856189131274
0.0,50,290000,4.519353059980011,0.0,3.126370826972081,2,0.0,3.126370826972081,4.519353059980011,10.397928198818299,10.397928198818297,10.397928198818297,50,19.39573787857204,0.0,19.39573787857204,2,10.397928198818299
0.0,50,320000,5.040339265873739,0.0,2.9540033903738427,3,0.0,2.9540033903738427,5.040339265873739,11.017498493308404,11.017498493308404,11.017498493308404,50,24.80425493522131,0.0,24.80425493522131,3,11.017498493308404
0.0,50,350000,4.936430060212961,0.0,1.7916978236844021,4,0.0,1.7916978236844021,4.936430060212961,9.632235874626904,9.632235874626904,9.632235874626904,50,23.232832717161624,0.0,23.232832717161624,4,9.632235874626904
0.0,50,380000,5.075746747631763,0.0,3.6025753642705802,5,0.0,3.6025753642705802,5.075746747631763,10.473559671315394,10.473559671315392,10.473559671315392,50,24.485131205886958,0.0,24.485131205886958,5,10.473559671315394
0.0,50,410000,5.871508968152795,0.0,1.7033350798412241,6,0.0,1.7033350798412241,5.871508968152795,10.614708650006062,10.614708650006062,10.614708650006062,50,29.259160639223353,0.0,29.259160639223353,6,10.614708650006062
0.0,50,440000,7.305609384083381,0.0,2.896057303349513,7,0.0,2.896057303349513,7.305609384083381,11.842516855030489,11.842516855030487,11.842516855030487,50,47.982216842461845,0.0,47.982216842461845,7,11.842516855030489
0.0,50,470000,5.276259606989652,0.0,3.2702110760247107,8,0.0,3.2702110760247107,5.276259606989652,11.537311233060215,11.537311233060214,11.537311233060214,50,33.71711106731509,0.0,33.71711106731509,8,11.537311233060215
0.0,50,500000,5.062174343309243,0.0,2.4095950552565935,9,0.0,2.4095950552565935,5.062174343309243,9.465790015744979,9.465790015744979,9.465790015744979,50,24.67118674661634,0.0,24.67118674661634,9,9.465790015744979
