MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/basketball-v2/SuccessRate,MetaTest/basketball-v2/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/basketball-v2/TerminationRate,TotalEnvSteps,MetaTest/basketball-v2/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTest/basketball-v2/Iteration,MetaTest/basketball-v2/AverageReturn,MetaTest/basketball-v2/MaxReturn,MetaTest/Average/MinReturn,MetaTest/basketball-v2/NumEpisodes,MetaTest/basketball-v2/StdReturn
9.808530491026676,0.0,0.0,9.808530491026676,5.428924273129516,0.0,9.808530491026676,0.0,230000,1.9577850032279671,25.871727415295936,0,50,0,9.808530491026676,25.871727415295936,1.9577850032279671,50,5.428924273129516
10.491120514268426,0.0,0.0,10.491120514268426,5.430766783159543,0.0,10.491120514268424,0.0,260000,2.597829541273367,26.20429114024891,1,50,1,10.491120514268424,26.20429114024891,2.597829541273367,50,5.430766783159543
10.321303060780048,0.0,0.0,10.321303060780048,4.531102253238962,0.0,10.321303060780046,0.0,290000,3.102666765028199,19.945954443342764,2,50,2,10.321303060780046,19.945954443342764,3.102666765028199,50,4.531102253238962
10.872214711700838,0.0,0.0,10.872214711700838,4.930342743454443,0.0,10.872214711700838,0.0,320000,2.9515140516048657,21.5525527739436,3,50,3,10.872214711700838,21.5525527739436,2.9515140516048657,50,4.930342743454443
10.055939629847213,0.0,0.0,10.055939629847213,5.310992434058886,0.0,10.055939629847211,0.0,350000,1.7874568458293543,27.791753735103057,4,50,4,10.055939629847211,27.791753735103057,1.7874568458293543,50,5.310992434058886
10.847523965256496,0.0,0.0,10.847523965256496,4.407409383069594,0.0,10.847523965256496,0.0,380000,3.8163353317423647,21.6352627285711,5,50,5,10.847523965256496,21.6352627285711,3.8163353317423647,50,4.407409383069594
11.332045734135901,0.0,0.0,11.332045734135901,6.5133761103748045,0.0,11.332045734135905,0.0,410000,1.786356216743484,32.014697369153104,6,50,6,11.332045734135905,32.014697369153104,1.786356216743484,50,6.5133761103748045
10.78419262212251,0.0,0.0,10.78419262212251,4.515736693418821,0.0,10.78419262212251,0.0,440000,3.0827519558184693,21.41546318985856,7,50,7,10.78419262212251,21.41546318985856,3.0827519558184693,50,4.515736693418821
11.602166551151601,0.0,0.0,11.602166551151601,4.7468984495525035,0.0,11.602166551151601,0.0,470000,3.3828921486522967,24.497440302198914,8,50,8,11.602166551151601,24.497440302198914,3.3828921486522967,50,4.7468984495525035
10.787108279122743,0.0,0.0,10.787108279122743,6.262558921276451,0.0,10.78710827912274,0.0,500000,2.2774111343578913,30.18388480106831,9,50,9,10.78710827912274,30.18388480106831,2.2774111343578913,50,6.262558921276451
11.37891739621699,0.0,0.0,11.37891739621699,4.330248855716563,0.0,11.37891739621699,0.0,530000,2.7241078011937954,22.551747124551497,10,50,10,11.37891739621699,22.551747124551497,2.7241078011937954,50,4.330248855716563
11.530203070134498,0.0,0.0,11.530203070134498,5.89147115091536,0.0,11.530203070134494,0.0,560000,2.8025624364503714,32.39413069794805,11,50,11,11.530203070134494,32.39413069794805,2.8025624364503714,50,5.89147115091536
11.999195631688373,0.0,0.0,11.999195631688373,5.54730752913689,0.0,11.999195631688378,0.0,590000,2.5313505374027785,31.853882251598947,12,50,12,11.999195631688378,31.853882251598947,2.5313505374027785,50,5.54730752913689
12.774703713905499,0.0,0.0,12.774703713905499,5.7031700961903,0.0,12.774703713905499,0.0,620000,3.4369724825579766,29.10213639293163,13,50,13,12.774703713905499,29.10213639293163,3.4369724825579766,50,5.7031700961903
10.996787365602156,0.0,0.0,10.996787365602156,4.247071133194242,0.0,10.996787365602156,0.0,650000,1.7290703266836784,19.96516081479514,14,50,14,10.996787365602156,19.96516081479514,1.7290703266836784,50,4.247071133194242
12.134666500762984,0.0,0.0,12.134666500762984,6.219588431612077,0.0,12.134666500762984,0.0,680000,2.850265090951343,27.32215507964939,15,50,15,12.134666500762984,27.32215507964939,2.850265090951343,50,6.219588431612077
12.97887755221605,0.0,0.0,12.97887755221605,8.416079452006162,0.0,12.978877552216048,0.0,710000,2.6032776066608614,59.491997919386385,16,50,16,12.978877552216048,59.491997919386385,2.6032776066608614,50,8.416079452006162
12.063823846316952,0.0,0.0,12.063823846316952,5.488623157469183,0.0,12.063823846316955,0.0,740000,4.132266459918692,26.74322140399305,17,50,17,12.063823846316955,26.74322140399305,4.132266459918692,50,5.488623157469183
12.438371173614266,0.0,0.0,12.438371173614266,5.003262320058984,0.0,12.438371173614266,0.0,770000,2.697960572059691,22.2249463734503,18,50,18,12.438371173614266,22.2249463734503,2.697960572059691,50,5.003262320058984
12.513469445628969,0.0,0.0,12.513469445628969,5.686397199929317,0.0,12.513469445628969,0.0,800000,3.8768702343931194,32.79147502187159,19,50,19,12.513469445628969,32.79147502187159,3.8768702343931194,50,5.686397199929317
13.543893759197488,0.0,0.0,13.543893759197488,5.8333320092936765,0.0,13.543893759197488,0.0,830000,2.8886578855774148,28.078848352751027,20,50,20,13.543893759197488,28.078848352751027,2.8886578855774148,50,5.8333320092936765
12.422555741744572,0.0,0.0,12.422555741744572,4.223397489258341,0.0,12.422555741744572,0.0,860000,4.899695112075717,20.95093139838119,21,50,21,12.422555741744572,20.95093139838119,4.899695112075717,50,4.223397489258341
12.113516571927082,0.0,0.0,12.113516571927082,5.272135618963333,0.0,12.113516571927082,0.0,890000,2.2797664346144466,26.25329772791263,22,50,22,12.113516571927082,26.25329772791263,2.2797664346144466,50,5.272135618963333
